Word,IDF
встраивать,1.441957
некорректный,0.919078
прием,0.618048
промежуток,1.220108
вклад,-0.005201
вопервый,1.07398
показывать,0.538867
впоследствии,0.37501
обнаружение,1.140927
представляться,-0.005201
сеансовый,1.140927
заявление,-0.005201
уменьшение,0.877685
инициировать,0.964836
расширение,0.538867
односторонний,0.964836
возможность,0.339294
буфер,1.441957
порт,0.618048
нейгла,1.618048
служебный,-0.005201
сегмент,1.317018
максимальный,0.919078
товарный,-0.005201
добавление,1.317018
описывать,0.640324
служить,0.576655
разный,0.413928
переходить,-0.005201
передача,0.596859
протокол,0.714958
предыдущий,0.618048
накапливаться,1.441957
минимальный,0.964836
изза,0.228882
язык,-0.005201
печатьэкспорт,-0.005201
короткий,-0.005201
специальный,0.339294
разъединение,1.441957
цитировать,0.010593
кратный,1.220108
очистка,1.220108
говорящий,1.441957
приниматься,0.714958
файл,0.919078
просмотр,-0.005201
неудача,1.07398
таймаут,1.618048
передаваться,0.805135
избранный,-0.005201
успех,0.521138
содержание,-0.005201
фиктивный,1.015988
параметр,0.618048
длинный,0.839897
строка,1.07398
фонд,-0.005201
волшебный,0.203075
флаг,0.441957
передающий,1.317018
изда,0.521138
свежий,-0.005201
отвечать,0.640324
средство,0.339294
алфавит,0.133748
читать,-0.005201
проитстатья,1.317018
такт,1.441957
поле,0.640324
задействовать,0.877685
состоять,0.350876
система,-0.005201
форум,-0.005201
направлять,0.47192
навигация,-0.005201
результат,0.15565
базовый,1.07398
зарезервировать,1.441957
таков,1.317018
двоичный,1.618048
располагать,0.37501
совпадать,1.140927
информация,0.237837
лицензия,-0.005201
течение,0.339294
затребовать,1.618048
копия,0.133748
инкапсуляция,1.618048
недостаток,0.317018
доля,0.576655
переносить,1.441957
доступ,0.877685
новое,0.350876
подсчитывать,1.441957
задавать,1.220108
отправлять,0.47192
фрагментация,1.618048
синхронизация,1.317018
шестнадцатеричный,1.618048
битный,1.220108
захотеть,1.441957
расчет,0.742987
необязательный,1.441957
ввод,0.964836
персональный,-0.005201
зарегистрировать,-0.005201
способ,0.596859
викимедиа,-0.005201
бит,1.441957
проитпоследний,1.317018
генерироваться,1.618048
установление,0.663806
приемник,1.140927
обязанный,0.77295
освобождать,0.688629
приложение,0.877685
обмен,0.714958
совпадение,1.441957
сообщество,-0.005201
повторный,0.877685
обнаруживаться,1.441957
подтверждать,0.521138
очищать,1.140927
разработчик,-0.005201
учитываться,1.220108
норвежский,0.487714
участник,0.194802
намереваться,1.317018
механизм,0.688629
тревожить,1.441957
выполнение,0.618048
соединяться,0.964836
српскохрватски,0.295829
уменьшать,1.015988
верификация,1.618048
применяться,0.618048
расширяемость,1.618048
находиться,0.186684
азаша,0.306294
гарантирование,1.618048
поток,0.714958
авторство,-0.005201
камера,1.220108
составлять,0.194802
таблица,0.839897
требовать,0.220108
проблема,0.306294
политика,-0.005201
заголовок,1.317018
