элемент,элемент битный,элемент битный алгоритм
doc_4.txt 0.000314,doc_1.txt 0.042894,doc_10.txt 0.061729
doc_57.txt 0.000235,doc_11.txt 0.032380,doc_1.txt 0.044137
doc_72.txt 0.000194,doc_2.txt 0.010939,doc_11.txt 0.028610
doc_61.txt 0.000181,doc_44.txt 0.001512,doc_2.txt 0.008606
doc_27.txt 0.000117,doc_4.txt 0.000001,doc_19.txt 0.005141
doc_33.txt 0.000115,doc_57.txt 0.000001,doc_83.txt 0.004477
doc_3.txt 0.000115,doc_72.txt 0.000001,doc_71.txt 0.003065
doc_76.txt 0.000113,doc_61.txt 0.000001,doc_13.txt 0.002218
doc_10.txt 0.000104,doc_27.txt 0.000000,doc_96.txt 0.001321
doc_31.txt 0.000101,doc_33.txt 0.000000,doc_44.txt 0.001190
doc_47.txt 0.000098,doc_3.txt 0.000000,doc_4.txt 0.000001
doc_29.txt 0.000096,doc_76.txt 0.000000,doc_57.txt 0.000001
doc_34.txt 0.000095,doc_10.txt 0.000000,doc_72.txt 0.000000
doc_87.txt 0.000095,doc_31.txt 0.000000,doc_61.txt 0.000000
doc_52.txt 0.000094,doc_47.txt 0.000000,doc_27.txt 0.000000
doc_74.txt 0.000092,doc_29.txt 0.000000,doc_33.txt 0.000000
doc_80.txt 0.000091,doc_34.txt 0.000000,doc_3.txt 0.000000
doc_70.txt 0.000090,doc_87.txt 0.000000,doc_76.txt 0.000000
doc_86.txt 0.000086,doc_52.txt 0.000000,doc_31.txt 0.000000
doc_93.txt 0.000085,doc_74.txt 0.000000,doc_47.txt 0.000000
doc_30.txt 0.000085,doc_80.txt 0.000000,doc_29.txt 0.000000
doc_24.txt 0.000084,doc_70.txt 0.000000,doc_34.txt 0.000000
doc_39.txt 0.000078,doc_86.txt 0.000000,doc_87.txt 0.000000
doc_12.txt 0.000078,doc_93.txt 0.000000,doc_52.txt 0.000000
doc_81.txt 0.000075,doc_30.txt 0.000000,doc_74.txt 0.000000
doc_41.txt 0.000074,doc_24.txt 0.000000,doc_80.txt 0.000000
doc_7.txt 0.000074,doc_39.txt 0.000000,doc_70.txt 0.000000
doc_84.txt 0.000074,doc_12.txt 0.000000,doc_86.txt 0.000000
doc_45.txt 0.000072,doc_81.txt 0.000000,doc_93.txt 0.000000
doc_9.txt 0.000072,doc_41.txt 0.000000,doc_30.txt 0.000000
doc_59.txt 0.000070,doc_7.txt 0.000000,doc_24.txt 0.000000
doc_37.txt 0.000070,doc_84.txt 0.000000,doc_39.txt 0.000000
doc_68.txt 0.000069,doc_45.txt 0.000000,doc_12.txt 0.000000
doc_90.txt 0.000067,doc_9.txt 0.000000,doc_81.txt 0.000000
doc_5.txt 0.000067,doc_59.txt 0.000000,doc_41.txt 0.000000
doc_21.txt 0.000067,doc_37.txt 0.000000,doc_7.txt 0.000000
doc_17.txt 0.000066,doc_68.txt 0.000000,doc_84.txt 0.000000
doc_49.txt 0.000065,doc_90.txt 0.000000,doc_45.txt 0.000000
doc_26.txt 0.000062,doc_5.txt 0.000000,doc_9.txt 0.000000
doc_63.txt 0.000059,doc_21.txt 0.000000,doc_59.txt 0.000000
doc_92.txt 0.000059,doc_17.txt 0.000000,doc_37.txt 0.000000
doc_73.txt 0.000058,doc_49.txt 0.000000,doc_68.txt 0.000000
doc_54.txt 0.000058,doc_26.txt 0.000000,doc_90.txt 0.000000
doc_97.txt 0.000057,doc_63.txt 0.000000,doc_5.txt 0.000000
doc_85.txt 0.000056,doc_92.txt 0.000000,doc_21.txt 0.000000
doc_67.txt 0.000054,doc_73.txt 0.000000,doc_17.txt 0.000000
doc_79.txt 0.000054,doc_54.txt 0.000000,doc_49.txt 0.000000
doc_66.txt 0.000053,doc_97.txt 0.000000,doc_26.txt 0.000000
doc_78.txt 0.000053,doc_85.txt 0.000000,doc_63.txt 0.000000
doc_13.txt 0.000052,doc_67.txt 0.000000,doc_92.txt 0.000000
doc_18.txt 0.000050,doc_79.txt 0.000000,doc_73.txt 0.000000
doc_43.txt 0.000050,doc_66.txt 0.000000,doc_54.txt 0.000000
doc_36.txt 0.000050,doc_78.txt 0.000000,doc_97.txt 0.000000
doc_51.txt 0.000049,doc_13.txt 0.000000,doc_85.txt 0.000000
doc_48.txt 0.000049,doc_18.txt 0.000000,doc_67.txt 0.000000
doc_60.txt 0.000048,doc_43.txt 0.000000,doc_79.txt 0.000000
doc_28.txt 0.000047,doc_36.txt 0.000000,doc_66.txt 0.000000
doc_69.txt 0.000046,doc_51.txt 0.000000,doc_78.txt 0.000000
doc_35.txt 0.000046,doc_48.txt 0.000000,doc_18.txt 0.000000
doc_75.txt 0.000046,doc_60.txt 0.000000,doc_43.txt 0.000000
doc_55.txt 0.000045,doc_28.txt 0.000000,doc_36.txt 0.000000
doc_53.txt 0.000045,doc_69.txt 0.000000,doc_51.txt 0.000000
doc_89.txt 0.000045,doc_35.txt 0.000000,doc_48.txt 0.000000
doc_6.txt 0.000044,doc_75.txt 0.000000,doc_60.txt 0.000000
doc_8.txt 0.000044,doc_55.txt 0.000000,doc_28.txt 0.000000
doc_16.txt 0.000044,doc_53.txt 0.000000,doc_69.txt 0.000000
doc_96.txt 0.000042,doc_89.txt 0.000000,doc_35.txt 0.000000
doc_11.txt 0.000041,doc_6.txt 0.000000,doc_75.txt 0.000000
doc_19.txt 0.000039,doc_8.txt 0.000000,doc_55.txt 0.000000
doc_88.txt 0.000038,doc_16.txt 0.000000,doc_53.txt 0.000000
doc_91.txt 0.000037,doc_96.txt 0.000000,doc_89.txt 0.000000
doc_58.txt 0.000037,doc_19.txt 0.000000,doc_6.txt 0.000000
doc_99.txt 0.000037,doc_88.txt 0.000000,doc_8.txt 0.000000
doc_42.txt 0.000035,doc_91.txt 0.000000,doc_16.txt 0.000000
doc_71.txt 0.000034,doc_58.txt 0.000000,doc_88.txt 0.000000
doc_38.txt 0.000033,doc_99.txt 0.000000,doc_91.txt 0.000000
doc_94.txt 0.000033,doc_42.txt 0.000000,doc_58.txt 0.000000
doc_14.txt 0.000032,doc_71.txt 0.000000,doc_99.txt 0.000000
doc_40.txt 0.000032,doc_38.txt 0.000000,doc_42.txt 0.000000
doc_1.txt 0.000032,doc_94.txt 0.000000,doc_38.txt 0.000000
doc_56.txt 0.000031,doc_14.txt 0.000000,doc_94.txt 0.000000
doc_2.txt 0.000031,doc_40.txt 0.000000,doc_14.txt 0.000000
doc_77.txt 0.000031,doc_56.txt 0.000000,doc_40.txt 0.000000
doc_46.txt 0.000030,doc_77.txt 0.000000,doc_56.txt 0.000000
doc_64.txt 0.000029,doc_46.txt 0.000000,doc_77.txt 0.000000
doc_98.txt 0.000029,doc_64.txt 0.000000,doc_46.txt 0.000000
doc_15.txt 0.000028,doc_98.txt 0.000000,doc_64.txt 0.000000
doc_65.txt 0.000026,doc_15.txt 0.000000,doc_98.txt 0.000000
doc_100.txt 0.000025,doc_65.txt 0.000000,doc_15.txt 0.000000
doc_83.txt 0.000025,doc_100.txt 0.000000,doc_65.txt 0.000000
doc_50.txt 0.000024,doc_83.txt 0.000000,doc_100.txt 0.000000
doc_25.txt 0.000023,doc_50.txt 0.000000,doc_50.txt 0.000000
doc_22.txt 0.000022,doc_25.txt 0.000000,doc_25.txt 0.000000
doc_23.txt 0.000022,doc_22.txt 0.000000,doc_22.txt 0.000000
doc_95.txt 0.000019,doc_23.txt 0.000000,doc_23.txt 0.000000
doc_82.txt 0.000018,doc_95.txt 0.000000,doc_95.txt 0.000000
