Query: википедия

Query: свободная энциклопедия
Document: doc_63.txt, Score: 0.0010594666377528727
Document: doc_10.txt, Score: 0.000297166313196183
Document: doc_47.txt, Score: 0.0002938666253543221
Document: doc_66.txt, Score: 0.00021251628340205586
Document: doc_54.txt, Score: 0.00017288728110942346
Document: doc_30.txt, Score: 0.0001696205779131417
Document: doc_74.txt, Score: 0.00016042712688002836
Document: doc_90.txt, Score: 0.00015693734368361591
Document: doc_4.txt, Score: 0.00015692578172055724
Document: doc_22.txt, Score: 0.00015628539653337627
Document: doc_81.txt, Score: 0.0001496907522711721
Document: doc_9.txt, Score: 0.00014312263747704517
Document: doc_60.txt, Score: 0.00011912662711324298
Document: doc_3.txt, Score: 0.00011523940438410716
Document: doc_44.txt, Score: 0.00010427797212173282
Document: doc_61.txt, Score: 0.00010063664230093957
Document: doc_34.txt, Score: 9.54165005408733e-05
Document: doc_87.txt, Score: 9.536951005177493e-05
Document: doc_25.txt, Score: 9.082141222579442e-05
Document: doc_53.txt, Score: 8.984701487261778e-05
Document: doc_70.txt, Score: 8.960375834242355e-05
Document: doc_72.txt, Score: 8.820381133879974e-05
Document: doc_23.txt, Score: 8.777827764804903e-05
Document: doc_86.txt, Score: 8.563951182328079e-05
Document: doc_93.txt, Score: 8.540222265338388e-05
Document: doc_24.txt, Score: 8.397510657536085e-05
Document: doc_43.txt, Score: 8.359482690576828e-05
Document: doc_26.txt, Score: 8.255957288259695e-05
Document: doc_92.txt, Score: 8.236518023488239e-05
Document: doc_39.txt, Score: 7.791828167823565e-05
Document: doc_12.txt, Score: 7.782058404462666e-05
Document: doc_41.txt, Score: 7.414634943208778e-05
Document: doc_91.txt, Score: 7.401264594420567e-05
Document: doc_7.txt, Score: 7.367072495689259e-05
Document: doc_45.txt, Score: 7.228174540478447e-05
Document: doc_15.txt, Score: 7.049963929149832e-05
Document: doc_59.txt, Score: 7.000872008085396e-05
Document: doc_37.txt, Score: 6.982269163492016e-05
Document: doc_68.txt, Score: 6.937379516558461e-05
Document: doc_5.txt, Score: 6.718609248624027e-05
Document: doc_36.txt, Score: 6.680109686968031e-05
Document: doc_21.txt, Score: 6.65274025116398e-05
Document: doc_17.txt, Score: 6.586678841649482e-05
Document: doc_14.txt, Score: 6.482168781645522e-05
Document: doc_27.txt, Score: 5.8356590703667724e-05
Document: doc_73.txt, Score: 5.773572586226791e-05
Document: doc_97.txt, Score: 5.682449742248039e-05
Document: doc_95.txt, Score: 5.6507283811088346e-05
Document: doc_20.txt, Score: 5.596652094058434e-05
Document: doc_80.txt, Score: 5.4667527855340916e-05
Document: doc_67.txt, Score: 5.44581478175386e-05
Document: doc_79.txt, Score: 5.361585116570788e-05
Document: doc_78.txt, Score: 5.299089686814678e-05
Document: doc_13.txt, Score: 5.207671757780905e-05
Document: doc_18.txt, Score: 5.0336888754268036e-05
Document: doc_51.txt, Score: 4.888673805827112e-05
Document: doc_48.txt, Score: 4.878497826749064e-05
Document: doc_29.txt, Score: 4.7944105036494294e-05
Document: doc_28.txt, Score: 4.717541957385792e-05
Document: doc_52.txt, Score: 4.716355129875923e-05
Document: doc_69.txt, Score: 4.6249576654992295e-05
Document: doc_35.txt, Score: 4.617280755900527e-05
Document: doc_33.txt, Score: 4.6144929223847374e-05
Document: doc_55.txt, Score: 4.533957156296186e-05
Document: doc_89.txt, Score: 4.464326921371806e-05
Document: doc_6.txt, Score: 4.415596310825162e-05
Document: doc_84.txt, Score: 4.200301406121893e-05
Document: doc_31.txt, Score: 4.051471889161207e-05
Document: doc_19.txt, Score: 3.937573945537501e-05
Document: doc_88.txt, Score: 3.777569106075206e-05
Document: doc_76.txt, Score: 3.7527340162332636e-05
Document: doc_58.txt, Score: 3.6680049647371305e-05
Document: doc_99.txt, Score: 3.667365670813432e-05
Document: doc_75.txt, Score: 3.4222389893435414e-05
Document: doc_38.txt, Score: 3.28989089156654e-05
Document: doc_94.txt, Score: 3.28989089156654e-05
Document: doc_40.txt, Score: 3.186093340938645e-05
Document: doc_2.txt, Score: 3.064199649297426e-05
Document: doc_77.txt, Score: 3.06048578679048e-05
Document: doc_62.txt, Score: 3.0052233886937635e-05
Document: doc_46.txt, Score: 2.963902884369994e-05
Document: doc_16.txt, Score: 2.9147983625768337e-05
Document: doc_98.txt, Score: 2.87506635899434e-05
Document: doc_85.txt, Score: 2.794077287341984e-05
Document: doc_57.txt, Score: 2.609909397616514e-05
Document: doc_65.txt, Score: 2.5973647545250253e-05
Document: doc_100.txt, Score: 2.5483146262401052e-05
Document: doc_83.txt, Score: 2.475226098684458e-05
Document: doc_50.txt, Score: 2.3572132257458614e-05
Document: doc_71.txt, Score: 2.2984242987438813e-05
Document: doc_96.txt, Score: 2.0972825521570253e-05
Document: doc_56.txt, Score: 2.0491844320457717e-05
Document: doc_82.txt, Score: 1.7998716039136674e-05
Document: doc_32.txt, Score: 1.760641841821733e-05
Document: doc_42.txt, Score: 1.7583399158005335e-05
Document: doc_49.txt, Score: 1.6308897704111117e-05
Document: doc_8.txt, Score: 1.4687350234225426e-05
Document: doc_64.txt, Score: 1.4666672830803282e-05
Document: doc_11.txt, Score: 1.3508703745464954e-05

Query: текущая версия страницы

