Word,IDF
тестирование,1.317018
атака,0.663806
соединяться,1.015988
говорящий,1.618048
состоять,0.362776
заявление,0.0
викисклад,0.140927
увеличивать,0.714958
шестнадцатеричный,1.919078
указание,0.0
копия,0.140927
инструктировать,1.919078
волшебный,0.211508
одинаковый,0.964836
последовательность,1.441957
англ,0.099534
ценный,0.805135
инкапсуляция,1.919078
адаптер,1.618048
сеанс,1.317018
нарушать,0.663806
выдавать,0.77295
ответный,0.805135
отмечать,0.427716
связываться,0.0
свежий,0.0
измеряться,1.618048
максимальный,0.964836
захотеть,1.618048
занимать,0.387599
файл,0.964836
сокращать,0.77295
шифрование,1.317018
успешный,0.640324
таков,1.441957
встраивать,1.618048
поддержка,0.387599
упрощенный,1.441957
сокет,1.919078
восстанавливать,0.688629
затребовать,1.919078
элемент,0.005264
таблица,0.877685
закрытие,0.805135
соединение,0.742987
азаша,0.317018
конфиденциальность,0.0
приемный,1.441957
псевдозаголовок,1.919078
требовать,0.228882
действие,0.275625
означать,0.596859
завершение,0.877685
адрес,0.714958
пакет,0.964836
момент,0.28561
текст,0.0
хоста,1.317018
битный,1.317018
викидать,0.005264
почта,0.55735
коммуникационный,1.618048
устанавливать,0.295829
трехэтапный,1.919078
стесик,1.919078
традиционный,0.714958
совпадение,1.618048
указатель,1.07398
български,0.237837
заканчивать,0.919078
бита,1.919078
лицензия,0.0
окончательный,0.742987
равный,0.877685
проверка,0.328013
инициировать,1.015988
установленный,0.714958
версия,0.0
поле,0.663806
основной,0.112898
осуществляться,0.618048
пользователь,1.220108
править,0.0
изда,0.538867
литература,0.178715
устойчивый,0.919078
обмен,0.742987
включать,0.237837
статья,0.0
заполнение,1.919078
алгоритм,1.07398
распределенный,1.441957
подсчитывать,1.618048
переполнение,1.919078
проитстатья,1.441957
безопасность,0.413928
запрос,0.640324
узлаполучатель,1.919078
строка,1.140927
смочь,0.618048
српскохрватски,0.306294
статистика,0.0
отправлять,0.487714
выполнение,0.640324
оглтри,1.919078
бхвпетербург,1.919078
сессия,0.919078
ответственность,0.0
самостоятельно,1.015988
операционный,0.805135
сообщать,0.0
представление,0.596859
нейгла,1.919078
задавать,1.317018
минимальный,1.015988
порядковый,1.618048
приложение,0.919078
специальный,0.350876
управление,0.228882
направлять,0.487714
некорректный,0.964836
изменяться,0.742987
изначальный,1.441957
явно,1.441957
такт,1.618048
измерять,1.618048
изза,0.237837
вильямс,1.919078
флаг,0.45668
добавление,1.441957
практически,0.487714
физический,0.663806
фактически,0.487714
перехватывать,1.441957
попытка,0.339294
закрывать,0.487714
зарегистрировать,0.0
узелотправитель,1.919078
выполнять,0.487714
дублирование,1.919078
отдельный,0.0
спецификация,1.317018
ольга,0.964836
показывать,0.55735
положительный,0.919078
стадия,1.07398
октет,1.618048
равно,1.07398
опция,1.919078
процесс,0.350876
категория,0.0
повторный,0.919078
указываться,0.964836
необязательный,1.618048
поток,0.742987
контрольный,1.07398
отправление,1.140927
товарный,0.0
событие,0.0
знак,0.0
буферизировать,1.919078
получение,0.596859
туннелирование,1.618048
путем,0.504105
смещение,1.618048
приходиться,0.504105
кодекс,0.0
удалять,0.47192
операция,0.427716
кратный,1.317018
установление,0.688629
двоичный,1.919078
трафик,1.220108
диаграмма,1.441957
разный,0.427716
подробно,0.0
добавлять,0.504105
d,1.919078
включаться,0.964836
располагать,0.387599
запрещать,0.45668
верификация,1.919078
рассматривать,0.576655
см,0.0
авторство,0.0
заголовок,1.441957
освобождение,0.640324
старт,0.964836
обнаружение,1.220108
отправка,0.877685
автоматически,1.441957
злоумышленник,1.618048
описывать,0.663806
внешний,0.17089
просмотр,0.0
переходить,0.0
практика,0.663806
дополнительный,0.0
начальный,0.839897
персональный,0.0
ти,1.441957
альтернатива,1.015988
смысл,0.714958
сохранение,0.0
разъединение,1.618048
входить,0.0
январь,0.080229
одновременно,0.47192
политика,0.0
заново,1.220108
ожидание,1.07398
энциклопедия,0.0
накладывать,1.618048
обсуждение,0.0
отредактировать,0.005264
этапный,1.919078
сетевой,1.07398
идентифицировать,1.140927
ограничение,0.663806
приниматься,0.742987
сентябрь,0.07398
внимание,0.742987
функция,0.596859
код,0.0
относиться,0.47192
уменьшать,1.07398
проявляться,1.07398
узел,0.919078
алфавит,0.140927
бит,1.618048
норвежский,0.504105
уведомлять,1.441957
постоянный,0.005264
сохранять,0.618048
ядро,0.877685
заглавный,0.0
запись,0.0
успех,0.538867
скорость,0.805135
согласование,1.015988
ранее,0.339294
содержание,0.0
отказ,0.0
определяться,0.877685
нерабочий,0.538867
важность,1.07398
интенсивно,1.919078
модуль,0.919078
прозрачный,1.919078
переносить,1.618048
случайный,0.0
некоммерческий,0.0
буфер,1.618048
английский,0.400564
решение,0.228882
история,0.0
экономия,1.317018
цитировать,0.015988
течение,0.350876
способный,0.77295
вопервый,1.140927
рекомендоваться,1.618048
список,0.163203
вовторых,1.140927
название,0.15565
учетный,0.0
навигация,0.0
язык,0.0
читать,0.0
сеансовый,1.220108
составлять,0.203075
справа,0.919078
уровень,0.317018
базовый,1.140927
скачать,0.0
македонский,0.37501
расширение,0.55735
канальный,1.220108
организация,0.0
точность,1.317018
расширяемость,1.919078
рукопожатие,1.919078
фиктивный,1.07398
увеличиваться,0.688629
дополнение,0.964836
устранять,1.015988
гарантирование,1.919078
стандартный,0.964836
информация,0.24698
надежный,1.220108
ошибка,0.0
сергей,0.521138
направление,0.576655
немнюгин,1.919078
передавать,0.387599
явный,1.220108
перегрузка,1.618048
впоследствии,0.387599
сегмент,1.441957
проталкивать,1.919078
вклад,0.0
укранськ,0.055755
сбросить,1.317018
стек,1.618048
недостаток,0.328013
прием,0.640324
интерактивный,1.441957
снижать,0.877685
исходный,1.140927
этап,0.663806
находиться,0.194802
структура,0.487714
викимедиа,0.0
односторонний,1.015988
запоминать,1.441957
кука,0.0
результат,0.163203
форум,0.0
эхо,1.317018
передающий,1.441957
согласовывать,1.07398
синхронизация,1.441957
предлагаться,1.015988
включая,0.328013
посылка,1.140927
передача,0.618048
битовый,1.618048
камера,1.317018
размер,0.47192
система,0.0
устанавливаться,0.964836
порт,0.640324
терминал,1.441957
словарь,0.295829
допустимый,0.919078
фрагментация,1.919078
монгол,0.387599
представляться,0.0
транспортный,0.596859
отдельно,1.015988
задействовать,0.919078
семейство,1.140927
инструмент,0.0
доля,0.596859
целостность,1.220108
очистка,1.317018
неудача,1.140927
приемник,1.220108
какомлибо,1.618048
сумма,0.77295
предварительный,0.877685
таймаут,1.919078
збекча,0.350876
будущее,0.576655
сообщество,0.0
количество,0.328013
повторять,1.015988
српский,0.24698
основание,0.47192
справка,0.0
реализация,0.663806
накапливаться,1.618048
терри,1.441957
намереваться,1.441957
прикладной,1.015988
приводить,0.228882
длинный,0.877685
возможность,0.350876
длина,0.964836
обрабатывать,1.015988
ос,1.140927
мобильный,0.0
правка,0.0
произвольный,1.441957
секунда,1.015988
тоннель,1.015988
промежуток,1.317018
модель,0.640324
служебный,0.0
избранный,0.0
ввод,1.015988
новое,0.362776
тревожить,1.618048
отдавать,0.596859
доступ,0.919078
андрей,0.77295
сигнализация,1.441957
пожертвовать,0.0
медленный,1.317018
способ,0.618048
канал,0.576655
схема,0.742987
поведение,0.0
счет,0.47192
обязанный,0.805135
отправитель,1.317018
медиафайл,0.186684
гарантировать,1.220108
проект,0.0
экспериментальный,1.140927
число,0.119738
разделять,0.47192
зарезервировать,1.618048
предоставлять,0.45668
чтение,1.07398
управляться,1.07398
посылать,0.964836
предыдущий,0.640324
маршрутизатор,1.919078
ответ,0.521138
вычислять,1.441957
освобождать,0.714958
программный,0.919078
ограничивать,0.688629
благодаря,0.538867
дуглас,1.618048
проитпоследний,1.441957
управляющий,1.441957
определять,0.427716
автоматический,0.964836
использоваться,0.37501
получатель,1.317018
источник,0.0
участие,0.0
пустой,0.742987
ресурс,0.194802
подтверждение,1.140927
текущий,0.0
виртуальный,1.220108
аппаратный,1.618048
узелполучатель,1.618048
средство,0.350876
обнаруживаться,1.618048
идентификатор,0.964836
беларуский,0.178715
практический,1.220108
теоретический,1.220108
байт,1.618048
генерироваться,1.919078
умолчание,1.441957
слабый,1.07398
служить,0.596859
печатьэкспорт,0.0
отвечать,0.663806
действовать,0.0
успешно,0.596859
принципиальный,1.220108
прекращать,0.400564
механизм,0.714958
совпадать,1.220108
разработчик,0.0
описание,0.0
фонд,0.0
зависание,1.919078
короткий,0.0
уменьшение,0.919078
вычисляться,1.618048
пространство,0.0
параметр,0.640324
восстановление,0.618048
учитываться,1.317018
внеполосный,1.919078
проталкивание,1.919078
вычисление,1.441957
уведомление,1.220108
доставка,0.663806
насыщение,1.919078
робачевский,1.919078
буферизироваться,1.919078
выполняться,0.964836
гбайт,1.919078
некоторые,0.211508
проблема,0.317018
оборвать,1.919078
википедия,0.0
установка,0.714958
обслуживание,0.714958
сеть,0.487714
очищать,1.220108
команда,0.688629
процессор,1.919078
заканчиваться,0.640324
верхний,0.618048
протокол,0.742987
потеря,0.688629
применяться,0.640324
назначение,0.576655
модернизация,0.964836
анализатор,1.919078
завершать,0.576655
передаваться,0.839897
скрытый,0.005264
подтверждать,0.538867
поиск,0.0
сервер,1.220108
печать,0.0
ожидать,0.805135
расчет,0.77295
блок,0.77295
включительно,1.317018
делегирование,1.618048
перспектива,0.663806
раенза,1.919078
нумерация,1.140927
редко,0.877685
яушев,1.919078
объявлять,0.295829
предполагать,0.714958
ополчение,1.07398
проехать,1.919078
мскра,1.919078
вариант,0.538867
развитие,0.211508
зонный,1.618048
озвучивать,1.07398
корпус,0.663806
владимир,0.400564
географический,0.640324
автостоп,1.919078
заниматься,0.538867
конструкция,0.919078
арбатский,1.919078
рассчитать,1.015988
таганскокраснопресненский,1.919078
дешевый,1.140927
пассажир,1.317018
бригада,0.77295
архивировать,0.032587
тупик,1.618048
частота,1.618048
огонь,0.596859
выставлять,1.618048
деревня,0.877685
неопра,0.049846
двухпролетный,1.919078
раздел,0.339294
отдаленный,1.220108
планировать,0.839897
агрегатор,1.919078
строй,0.538867
пересадка,1.618048
столовая,1.919078
высота,0.77295
громкий,1.441957
замоскворецкий,1.618048
монорельс,1.919078
отражать,0.688629
примечание,0.010593
победа,0.45668
житель,0.441957
пик,0.964836
ликовский,1.919078
лестница,1.618048
полуподземный,1.919078
перекрестный,1.919078
блокировка,1.919078
голосовой,1.618048
мневники,1.919078
способность,0.964836
пассажирский,1.140927
признавать,0.37501
участник,0.211508
митинобутовский,1.919078
река,0.55735
пусковой,1.441957
март,0.055755
единый,0.521138
воспользоваться,0.877685
протяженность,1.07398
радиус,1.317018
кольцевой,1.919078
филя,1.919078
отличаться,0.28561
помещение,0.919078
онлайн,0.427716
хорошевский,1.919078
станционный,1.919078
подъем,1.317018
проверяться,0.37501
раменки,1.618048
иси,1.919078
владислав,1.140927
митино,1.919078
архив,0.37501
июнь,0.061746
трехсводчатый,1.919078
упразднять,0.805135
москвич,1.441957
лебедев,1.220108
восток,0.339294
проход,1.919078
восстанавливаться,1.441957
впервые,0.275625
образный,1.317018
метромост,1.919078
иа,1.220108
калининская,1.919078
бирюлевский,1.919078
представлять,0.28561
тинао,1.919078
станция,0.521138
петровский,1.220108
высоко,0.596859
портал,0.45668
живописный,1.618048
щербинка,1.919078
филевский,1.919078
севернее,1.618048
концептуальный,1.441957
динамо,1.618048
классический,1.07398
ветвь,0.805135
антропогенный,1.317018
слайд,1.919078
завершаться,0.714958
собянин,1.618048
оригинал,0.25632
начинаться,0.211508
ломоносовский,1.618048
район,0.25632
выписывать,1.919078
трехпролетный,1.919078
российский,0.133748
подвижный,1.317018
тарашкевцо,0.350876
заложение,1.919078
открывать,0.350876
повышение,0.877685
лисов,1.618048
обучение,0.640324
семивагонный,1.919078
опытный,0.362776
отправляться,0.839897
трехгорок,1.919078
км,0.47192
вынуждать,0.742987
открыто,0.839897
исключать,0.618048
электродепо,1.919078
